RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,USG,TO,FTA,FT%,2PA,2P%,3PA,3P%,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VIVersatility,ORTGOffensive,DRTGDefensive
,Isaiah Joe,Phi,G,23,7,2.1,4.4,25.6,37.5,0,0,2,0.5,3,0.333,0.5,0.5,0.7,0.3,8.3,0,0,0,0,0.43,0,,
,Cameron Johnson,Pho,F,26,13,24.6,51.3,18,9.6,32,0.813,40,0.6,59,0.373,0.576,0.619,10.8,3.5,8.4,1.5,8.7,0.38,0.08,0.92,6.2,120.1,104.2
,Jalen Johnson,Atl,F,21,2,4.6,9.6,20,25,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,123.5
,Nikola Jokic,Den,C,27,5,34.2,71.3,36.8,16.6,33,0.848,88,0.636,18,0.278,0.599,0.643,31,13.2,23.9,5.8,36.5,1.6,1,4.8,15.6,116,98.4
,Derrick Jones Jr.,Chi,F,25,5,11.8,24.6,15.8,14.1,3,0.667,6,0.667,11,0.273,0.5,0.519,3.8,1.4,5.9,0.4,5.3,0.2,0,0.6,4.4,99.5,104.8
,Herbert Jones,Nor,F,24,6,37.7,78.5,11.7,13,22,0.773,32,0.5,12,0.417,0.534,0.596,10.7,3.3,5.2,1.8,6.8,1.83,0.83,1.33,4.2,117.9,106.9
,Tyus Jones,Mem,G,26,12,21.9,45.5,18.5,11,15,0.933,54,0.389,45,0.4,0.485,0.521,9.2,3.3,7.9,4.5,30.3,1.17,0.17,1.08,9.4,116.1,109.4
,DeAndre Jordan,Phi,C,34,3,10.2,21.3,10.7,28.6,0,0,5,1,0,0,1,1,3.3,2.3,14,0.3,5.5,0,0.67,0.67,5.2,133.1,100.4
,Maxi Kleber,Dal,F,30,18,25.4,52.8,13.1,8.7,21,0.714,28,0.714,78,0.436,0.67,0.681,8.7,4.6,10.5,1.1,6.9,0.22,0.83,0.61,5.6,130.5,102.3
,Kevin Knox II,Atl,F,23,2,4.6,9.6,74.4,20.2,2,1,1,1,10,0.6,0.909,0.926,11,1,13.1,0,0,1,0,1.5,0,1019.8,103.9
,John Konchar,Mem,G,26,8,7,14.5,9.5,7.8,2,1,5,0.4,6,0.167,0.318,0.379,1.1,2.4,18,0.6,11.6,0.38,0.13,0.13,6.7,104.4,94.8
,Furkan Korkmaz,Phi,G-F,25,9,6.8,14.2,19.8,7.7,2,1,13,0.538,10,0.4,0.565,0.586,3.1,1.3,11.9,0.4,11.3,0.11,0.11,0.22,6.9,113.1,101.8
,Luke Kornet,Bos,F-C,27,10,2,4.1,11.5,20,0,0,3,0.667,1,1,0.875,0.875,0.7,0.5,14.4,0.1,8.3,0,0,0.1,6.5,,
,Jonathan Kuminga,Gol,F,20,16,8.6,17.9,26.3,13.3,26,0.769,47,0.574,13,0.231,0.525,0.581,5.2,1.7,11,0.5,9,0.19,0.13,0.69,7.6,105.6,103.3
,Zach LaVine,Chi,G-F,27,4,38.2,79.5,23.4,14.7,15,0.933,39,0.462,24,0.375,0.5,0.553,19.3,5.3,6.9,6,27.1,0.75,0.25,3,8.9,105.9,111.3
,Damion Lee,Gol,G-F,30,16,7.8,16.1,14.6,14.5,3,0.667,18,0.5,16,0.25,0.441,0.453,2,1.6,11.8,0.4,7.5,0.06,0,0.38,5.6,91.4,105.9
,Kevon Looney,Gol,F,26,22,20.4,42.4,11.3,16.5,18,0.611,88,0.659,0,0,0.659,0.662,5.8,7.6,21,2.2,14.6,0.41,0.45,0.86,9,140.2,97.8
,Brook Lopez,Mil,C,34,12,27.7,57.6,16.1,8.9,23,0.913,74,0.595,28,0.214,0.52,0.566,10.6,5.9,11,0.7,3.7,0.5,1.5,0.92,5.1,117.3,104.4
,Kyle Lowry,Mia,G,36,10,29.5,61.4,17.1,16.8,19,0.789,32,0.375,54,0.241,0.366,0.413,7.8,3.6,7.2,4.7,22.5,1.2,0.7,1.9,6.9,91.6,101.3
,Timothe Luwawu-Cabarrot,Atl,G-F,27,4,5.5,11.5,10.4,20,0,0,1,1,3,0.333,0.625,0.625,1.3,0.8,8.2,0.5,14.5,0,0,0.25,5.8,110.3,89.7
,Boban Marjanovic,Dal,C,34,3,2.1,4.3,52.6,29.1,2,1,4,0.25,0,0,0.25,0.41,1.3,1,28.2,0,0,0.33,0,0.67,0,,
,Naji Marshall,Nor,F,24,6,9.4,19.6,11.3,20.3,4,1,10,0.7,0,0,0.7,0.765,3,1,6.3,0.8,12.9,0.17,0.17,0.5,5.7,135.1,109.9
,Caleb Martin,Mia,F,27,17,12.3,25.6,19.8,10.8,6,0.333,47,0.468,33,0.303,0.463,0.46,4.5,2.2,10.4,0.3,3.7,0.59,0.12,0.59,4.7,90.7,102.6
,Wesley Matthews,Mil,G,36,12,28.7,59.8,9.3,8.1,9,0.667,19,0.368,45,0.4,0.531,0.544,6.2,3.1,5.5,1.2,5.6,0.75,0.25,0.5,4,114.2,107.3
,Tyrese Maxey,Phi,G,22,12,40.4,84.2,21.8,9.3,50,0.94,113,0.549,69,0.377,0.555,0.61,20.8,3.5,5.3,3.9,17,0.75,0.17,1.75,6.5,118.8,112
,Skylar Mays,Atl,G,25,2,4.6,9.6,5,0,0,0,1,1,0,0,1,1,1,0.5,6.6,0.5,17.9,0.5,0,0,5.5,208.4,101.7
,CJ McCollum,Nor,G,31,6,39,81.2,27.9,9.9,26,0.692,74,0.432,51,0.333,0.46,0.487,22.2,6.7,10.1,4.8,20.6,0.67,0.83,2.5,9.2,102.6,110.8
,Jaden McDaniels,Min,F,22,6,21.7,45.1,14.9,13.3,12,0.833,14,0.571,20,0.5,0.676,0.713,9.3,2.8,7.3,0.7,5,0.33,1.83,1,4.9,127.4,103.8
,JaVale McGee,Pho,C-F,34,12,11.1,23.2,22.3,13.9,13,0.846,49,0.714,1,0,0.7,0.727,6.8,4,21,0.6,8.8,0.25,0.42,0.75,9.1,132.7,88
,Jordan McLaughlin,Min,G,26,5,16.6,34.6,10.7,9.6,4,0.75,10,0.8,7,0.571,0.824,0.826,6.2,2.4,8,3.4,33.4,1,0,0.4,8.9,165.3,108.5
,De'Anthony Melton,Mem,G,24,10,17,35.4,19.5,17.3,4,0.75,21,0.476,44,0.25,0.408,0.419,5.6,3.1,9.6,1.5,12.5,1,0.5,1.4,7,86.2,106.7
,Khris Middleton,Mil,F,31,2,35.8,74.5,22,30.3,3,1,10,0.4,14,0.429,0.542,0.573,14.5,5,7.2,7,29.6,1.5,0,5.5,8.9,95.3,104.6
,Paul Millsap,Phi,F,37,1,5.6,11.7,0,,0,0,0,0,0,0,,,0,1,10.9,1,23.7,0,0,0,0,,95.7
,Patty Mills,Bro,G,34,4,18.1,37.7,10.8,5.9,0,0,3,0.667,13,0.538,0.781,0.781,6.3,1,3.6,0,0,0,0.25,0.25,0,137.4,114.3
,Shake Milton,Phi,G-F,26,12,13.2,27.5,15.4,9.7,20,0.8,23,0.435,15,0.533,0.579,0.641,5,1.6,7.3,0.9,10.9,0.5,0.25,0.42,5.9,126.9,106.5
,Donovan Mitchell,Uta,G,26,6,38.3,79.7,34.2,9.6,42,0.881,85,0.506,48,0.208,0.436,0.505,25.5,4.3,6.6,5.7,29.7,0.67,0.5,2.67,8.9,107.4,109.5
,Greg Monroe,Min,F-C,32,2,3.6,7.5,35.7,16.7,0,0,5,0.4,0,0,0.4,0.4,2,1,15.4,0.5,29,1,0,0.5,11.1,,
,Moses Moody,Gol,G,20,13,8.1,16.8,14.1,8.9,6,0.667,15,0.533,13,0.538,0.661,0.669,3.2,0.6,4.3,0.3,5.3,0.23,0.23,0.23,4.1,123,110.9
,Ja Morant,Mem,G,23,9,37.5,78.1,30.9,12.6,87,0.747,134,0.478,50,0.34,0.486,0.549,27.1,8,11.3,9.8,44.3,2,0.44,3.56,13.7,115.8,104.5
,Juwan Morgan,Bos,F,25,9,1.6,3.4,5.8,0,2,0.5,0,0,1,0,0,0.266,0.1,0.3,11.6,0,0,0,0,0,0,,
,Markieff Morris,Mia,F,33,1,3.5,7.3,25.5,50,0,0,1,0,0,0,0,0,0,1,16.8,0,0,0,0,1,0,,
,Monte Morris,Den,G,27,5,31.1,64.9,18,12.4,12,0.75,25,0.56,26,0.423,0.598,0.622,14,2.2,4.4,5.4,26.3,1.2,0,1.6,7.1,123,107.8
,Trey Murphy III,Nor,F,22,6,20,41.6,9.1,4,5,0.8,3,0,19,0.474,0.614,0.64,5.2,2.5,7.4,0.5,3.4,0.5,0.17,0.17,3.7,134.6,109.7
,Svi Mykhailiuk,Tor,G-F,25,3,1.6,3.4,23.1,0,1,1,0,0,2,0,0,0.205,0.3,0.3,12.5,0,0,0,0,0,0,,
,Larry Nance Jr.,Nor,F-C,29,6,21.6,45.1,16.5,12,11,0.818,30,0.667,9,0.222,0.59,0.627,9.2,5.8,15.9,1.8,13.2,0.5,0.33,1,8.5,131.3,104.7
,Aaron Nesmith,Bos,G-F,23,14,3.7,7.7,17.2,5.1,4,0.75,6,0.5,11,0.091,0.265,0.32,0.9,1.1,16.3,0.2,8.4,0.14,0.29,0.07,6.3,,
,Georges Niang,Phi,F,29,12,16.5,34.4,13.3,12.5,2,1,5,0.8,43,0.372,0.583,0.593,4.8,1.5,5.6,0.9,8.5,0.25,0,0.58,4.5,110.9,100.9
,Zeke Nnaji,Den,F-C,21,2,4.3,9,5.1,0,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,0,0,0,300,96.1
,Jaylen Nowell,Min,G,23,1,11.9,24.8,36,0,0,0,5,0.6,5,0,0.3,0.3,6,0,0,1,16.6,1,0,0,0,69.9,109
,Frank Ntilikina,Dal,G,24,12,10.4,21.6,12,22.3,1,1,4,0.5,20,0.3,0.458,0.471,1.9,1,5.6,0.8,10.4,0.67,0.08,0.58,4.4,87.9,95.6
,Jordan Nwora,Mil,F,24,8,2.5,5.2,21.4,0,2,0,5,0.4,4,0,0.222,0.202,0.5,0.4,7.7,0.3,14.2,0,0,0,6.3,,
,Josh Okogie,Min,G,24,1,2.2,4.6,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Onyeka Okongwu,Atl,F-C,22,5,21.6,44.9,10.4,16.4,10,0.8,16,0.563,0,0,0.563,0.637,5.2,5.4,15.1,0.4,2.9,0.8,0.8,0.8,4.1,130,97.5
,Victor Oladipo,Mia,G,30,15,24.5,51.1,22.3,13.6,53,0.792,74,0.446,62,0.274,0.43,0.499,10.6,3.4,8.2,2.1,12.9,1.27,0.27,1.67,6.9,97.1,102.4
,Royce O'Neale,Uta,F,29,6,31.4,65.3,9.7,7.7,2,1,10,0.7,25,0.28,0.5,0.516,6.2,5.7,10.5,1.5,7.3,0.5,0.17,0.5,4.8,115.6,105.3
,Eric Paschall,Uta,F,26,4,6.1,12.7,12.4,0,1,1,4,0.5,2,0.5,0.583,0.621,2,1.3,12,0,0,0.25,0,0,0,135.6,99.1
,Chris Paul,Pho,G,37,13,34.4,71.7,20.8,15.3,37,0.946,106,0.642,49,0.388,0.623,0.666,17.5,4.2,7.1,8.3,36.4,1.46,0.15,2.38,9.9,129.5,103.7
,Cameron Payne,Pho,G,28,13,13.2,27.6,24,14.5,6,0.833,44,0.386,30,0.167,0.331,0.352,4.2,1.5,6.8,2.1,21.5,0.54,0.08,1,7.2,78.1,97.5
,Gary Payton II,Gol,G,30,12,17,35.3,12.5,10.4,18,0.667,29,0.724,15,0.533,0.75,0.751,6.5,3.1,10.2,1.3,10.9,1.17,0.58,0.5,7,145.8,97.8
,Elfrid Payton,Pho,G,28,2,3.9,8,17.9,0,0,0,3,0.667,0,0,0.667,0.667,2,0,0,1.5,65.2,0,0,0,0,,
,Jordan Poole,Gol,G,23,22,27.5,57.3,24.5,15.7,71,0.915,126,0.627,128,0.391,0.606,0.654,17,2.8,5.7,3.8,21.1,0.82,0.36,2.41,8.2,117.3,102.6
,Otto Porter Jr.,Gol,F,29,19,19.5,40.7,11,12.9,9,0.778,30,0.633,47,0.404,0.617,0.63,5.4,3.4,9.8,1.8,12.1,0.89,0.32,0.63,6.6,124.7,101.1
,Bobby Portis,Mil,F,27,12,24.8,51.6,20.5,11.4,22,0.773,68,0.5,47,0.298,0.478,0.509,10.6,10,20.7,0.8,4.7,0.42,0.25,1.33,7.1,103,100.7
,Dwight Powell,Dal,F-C,31,18,13.8,28.8,10.3,16.6,23,0.609,33,0.667,2,0,0.629,0.643,3.2,2.6,11,0.2,2.4,0.17,0.33,0.5,3.4,122.3,96.9
,Taurean Prince,Min,F,28,5,13.1,27.2,22.4,11.7,7,0.857,13,0.462,14,0.286,0.444,0.499,6,1.6,6.8,1.2,15.2,0.4,0.2,0.8,6.9,99.9,109.5
,Payton Pritchard,Bos,G,24,24,12.9,26.8,16.6,7.9,6,0.667,30,0.633,72,0.333,0.539,0.545,4.8,1.9,8.4,1.6,19.7,0.25,0.08,0.38,7.6,117.1,104
,Paul Reed,Phi,F,23,12,11.6,24.2,16.2,18.7,7,0.571,33,0.515,3,0.667,0.556,0.563,3.7,3.9,20.6,0.8,11.6,0.75,0.5,0.75,7.8,118.7,88.3
,Naz Reid,Min,C-F,23,5,10.8,22.5,19.9,19.9,7,1,10,0.4,7,0.429,0.5,0.598,4.8,2.8,14.4,0,0,0.2,1.2,1,0,99.6,86.1
,Austin Rivers,Den,G,30,5,21.7,45.2,9,17.8,1,1,6,0.667,12,0.333,0.556,0.569,4.2,0.6,1.7,1.2,7.4,1.4,0.2,0.8,2.7,100.7,101.7
,Duncan Robinson,Mia,F,28,13,12.3,25.5,17.5,4.8,6,0.833,10,0.7,47,0.383,0.596,0.612,5.6,1.8,8.5,0.4,4.9,0.31,0.08,0.23,5.2,118.4,97.1
,D'Angelo Russell,Min,G,26,6,32.7,68.2,21,17.7,16,0.75,41,0.293,31,0.387,0.417,0.455,12,2.5,4.2,6.7,32.1,1.5,0,2.83,7.2,95.8,108.5
,Landry Shamet,Pho,G,25,12,16,33.3,13.9,12.1,7,0.714,22,0.455,26,0.346,0.49,0.509,4.3,1.7,6.1,1.3,10.3,0.5,0,0.58,5.3,102.5,109.1
,Day'Ron Sharpe,Bro,F,21,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Pascal Siakam,Tor,F,28,6,43.4,90.4,24.2,9.6,36,0.861,90,0.522,17,0.235,0.495,0.558,22.8,7.2,10.1,5.8,22.8,1.17,1,2.17,9.1,117.9,105.5
,Marcus Smart,Bos,G,28,21,36.2,75.4,21.2,14.5,62,0.806,142,0.458,137,0.35,0.491,0.529,15.4,4.5,7,5.9,26.3,1.24,0.24,2.48,8.2,107.6,101.6
,Jaden Springer,Phi,G,20,5,2.6,5.5,21.5,0,0,0,5,0.6,1,0,0.5,0.5,1.2,0.8,18.7,0.4,29.2,0,0,0,11.2,,
,Nik Stauskas,Bos,G,29,13,1.8,3.8,25.9,0,4,1,2,0,10,0.3,0.375,0.472,1,0.3,9.4,0.3,26.2,0,0,0,10,,
,Max Strus,Mia,G-F,26,18,29,60.5,17.9,9.5,18,0.722,40,0.525,142,0.331,0.503,0.516,10.9,4.1,8.3,2.1,11,0.78,0.44,1.11,6.3,104.5,101.4
,Jayson Tatum,Bos,F-G,24,24,41,85.3,29.6,15.5,170,0.8,276,0.449,196,0.393,0.507,0.562,25.6,6.7,9.2,6.2,26.9,1.21,0.88,4.17,10,106.3,102.8
,Garrett Temple,Nor,G-F,36,1,1.9,4,0,,0,0,0,0,0,0,,,0,1,31.1,0,0,0,0,0,0,,
,Daniel Theis,Bos,F-C,30,16,12.5,26,14.7,16.8,8,0.75,37,0.73,14,0.214,0.618,0.633,4.3,3.3,14.6,0.7,8.9,0.25,0.5,0.69,6.9,115.8,95.8
,Cam Thomas,Bro,G,21,1,0.4,0.8,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Klay Thompson,Gol,G,32,22,36,75,22.7,7.1,30,0.867,167,0.485,200,0.385,0.535,0.551,19,3.9,6.1,2.3,9.5,1.09,0.68,1.32,6.2,105.8,107.1
,Tristan Thompson,Chi,C-F,31,5,7.6,15.9,11.5,50,0,0,5,0.4,0,0,0.4,0.4,0.8,1.6,10.5,0.4,7.4,0.2,0,1,4.2,59.8,105.3
,Matisse Thybulle,Phi,G-F,25,9,15.2,31.7,9.4,7.3,3,0.333,10,0.7,14,0.286,0.542,0.533,3,1,4,0.4,4.4,0.78,0.78,0.22,2.8,106.4,103.8
,Xavier Tillman,Mem,F,23,9,15.5,32.2,11.1,26.6,6,0.5,23,0.739,2,0.5,0.74,0.724,4.4,3.2,11,0.7,6.2,0.67,0.11,1.11,5.5,115.2,101.5
,Juan Toscano-Anderson,Gol,F,29,14,3.5,7.3,17.3,41.4,3,0.333,5,0.4,5,0.4,0.5,0.486,0.8,0.7,11.5,0.6,21,0.14,0.07,0.57,7.9,,
,Karl-Anthony Towns,Min,C-F,27,6,37,77,24.9,20.9,50,0.86,58,0.5,22,0.455,0.55,0.642,21.8,10.8,16.3,2.2,10.1,0.67,2,4.5,8.7,108.8,101.9
,Gary Trent Jr.,Tor,G-F,23,6,33.2,69.2,21.7,3.2,19,0.895,43,0.419,39,0.333,0.457,0.509,15.3,1.8,3.4,1.3,6.4,1,0.5,0.5,4,110.5,112.2
,P.J. Tucker,Mia,F,37,18,28.3,58.9,11.3,10.1,16,0.688,58,0.534,51,0.451,0.601,0.612,7.9,5.7,11.8,1.8,9.2,0.78,0.28,0.72,6.1,128.2,101.6
,Rayjon Tucker,Mil,G,25,8,2.4,4.9,6.9,0,0,0,2,0.5,1,0,0.333,0.333,0.3,0.4,8.2,0,0,0,0,0,0,,
,Jonas Valanciunas,Nor,C,30,6,29.1,60.6,22.5,13.1,26,0.769,62,0.516,6,0.167,0.493,0.548,14.5,14.3,29.1,3,16.5,0.67,0.17,2,11.7,119,102
,Jarred Vanderbilt,Min,F,23,6,21.5,44.8,12.1,13.7,10,0.7,27,0.481,0,0,0.481,0.525,5.5,7.2,18.5,0.7,4.7,1.17,0.33,0.83,5.6,111.9,98.7
,Fred VanVleet,Tor,G,28,4,35,72.9,20.1,6.6,6,0.833,18,0.389,36,0.333,0.463,0.486,13.8,3,5.3,6.3,27.5,1.75,1,1,7.3,115.3,106.7
,Luca Vildoza,Mil,G,20,7,2.4,5,15.4,0,0,0,1,1,5,0.2,0.417,0.417,0.7,0.3,6.1,0.6,34.6,0.29,0,0,8.4,,
,Gabe Vincent,Mia,G,26,18,23.5,49,17.4,15.2,20,0.95,50,0.5,81,0.309,0.477,0.515,8,1.9,4.9,3.2,20,0.78,0.28,1.39,6.2,103.3,103.1
,Nikola Vucevic,Chi,C,32,5,36.2,75.3,24.5,7.9,5,0.8,49,0.551,42,0.31,0.511,0.52,19.4,12.4,17.2,3.2,16.5,0.4,1.2,1.6,10.1,108.1,106.4
,Ish Wainright,Pho,F,28,7,3.8,7.9,26.1,20,0,0,6,0.333,6,0.5,0.542,0.542,1.9,1.6,24.4,0.1,5.7,0.14,0.14,0.43,7.1,,
,Yuta Watanabe,Tor,G-F,28,4,2.6,5.4,31.5,14.3,0,0,5,0.4,1,0,0.333,0.333,1,0,0,0,0,0,0,0.25,0,,
,Coby White,Chi,G,22,5,19.6,40.9,23.8,11.3,5,0.8,16,0.438,29,0.276,0.422,0.445,8.4,3.4,8.7,1.8,15.2,0.2,0,1.2,7.6,87.2,111.9
,Derrick White,Bos,G,28,23,25.4,53,17.5,12.8,51,0.824,93,0.409,83,0.313,0.438,0.494,8.5,3,6.7,2.7,15.9,0.91,0.57,1.26,6.5,101.5,102.9
,Hassan Whiteside,Uta,C,33,6,10.9,22.7,9.9,0,4,0.25,12,0.417,0,0,0.417,0.4,1.8,5.2,27.6,0,0,0.33,1.33,0,0,114,92.8
,Andrew Wiggins,Gol,F,27,22,34.9,72.6,20.8,8.3,65,0.646,200,0.54,105,0.333,0.526,0.544,16.5,7.5,12.1,1.8,7.7,1.05,1.05,1.36,6.9,110.2,104.5
,Robert Williams III,Bos,C-F,25,17,23.2,48.3,11.5,10,28,0.893,77,0.688,1,0,0.679,0.725,7.7,6.2,15.2,1,6.8,0.65,2.24,0.59,6.3,149.3,100.6
,Grant Williams,Bos,F,24,24,27.2,56.8,13.3,10.4,52,0.808,61,0.492,89,0.393,0.55,0.599,8.6,3.8,7.8,0.8,4.4,0.33,0.75,0.83,4.4,116.7,98.9
,Patrick Williams,Chi,F,21,5,30.6,63.7,16.9,11.9,11,0.727,26,0.577,21,0.333,0.543,0.569,11.8,5.4,8.9,0.8,4.3,1,0.6,1.4,4.8,106.5,106
,Ziaire Williams,Mem,F,21,10,16.8,34.9,14.6,3.3,13,0.923,16,0.75,36,0.306,0.548,0.598,6.9,1.7,5.4,0.5,4.3,0.5,0,0.2,4.3,127.1,106.7
,Delon Wright,Atl,G,30,5,27.4,57,12.8,13.2,9,0.667,16,0.625,13,0.385,0.603,0.622,8.2,4.8,10.6,2.8,16.8,0.8,0.2,1,7,131.9,117.4
,Thaddeus Young,Tor,F,34,6,14.5,30.2,12.2,13.2,4,0.25,11,0.727,7,0.143,0.528,0.506,3.3,3,12.7,1.7,16.9,0.83,0.17,0.5,7.1,116.6,103.8
,Trae Young,Atl,G,24,5,37.3,77.7,28.3,27.1,33,0.788,31,0.484,38,0.184,0.37,0.461,15.4,5,8.1,6,26.9,0.6,0,6.2,8.3,83.4,111.8
,Omer Yurtseven,Mia,C,24,9,4.2,8.8,22.8,0,3,0.333,16,0.75,2,0,0.667,0.647,2.8,0.8,10.9,0.3,16.7,0,0.11,0,8.3,131.5,107.9
